selected_value,w_efficiency,w_fairness,w_exploration,reversibility_loss_total,energy
fairness,0.36999999999999944,0.8399999999999999,0.6950000000000018,0.1,94.0
exploration,0.36999999999999944,0.8399999999999999,0.6900000000000018,0.1,93.0
exploration,0.36999999999999944,0.8399999999999999,0.6750000000000018,0.1,92.0
exploration,0.36999999999999944,0.8399999999999999,0.6700000000000018,0.1,91.0
exploration,0.36999999999999944,0.8399999999999999,0.6650000000000018,0.1,90.0
exploration,0.36999999999999944,0.8399999999999999,0.6700000000000018,0.1,89.0
fairness,0.36999999999999944,0.8249999999999998,0.6700000000000018,0.1,88.0
fairness,0.36999999999999944,0.8199999999999998,0.6700000000000018,0.1,87.0
fairness,0.36999999999999944,0.8149999999999998,0.6700000000000018,0.1,86.0
fairness,0.36999999999999944,0.8099999999999998,0.6700000000000018,0.1,85.0
fairness,0.36999999999999944,0.8049999999999998,0.6700000000000018,0.1,84.0
efficiency,0.36499999999999944,0.8049999999999998,0.6700000000000018,0.1,83.0
efficiency,0.3499999999999994,0.8049999999999998,0.6700000000000018,0.1,82.0
exploration,0.3499999999999994,0.8049999999999998,0.6750000000000018,0.1,81.0
efficiency,0.3349999999999994,0.8049999999999998,0.6750000000000018,0.1,80.0
fairness,0.3349999999999994,0.7899999999999998,0.6750000000000018,0.1,99.0
exploration,0.3349999999999994,0.7899999999999998,0.6700000000000018,0.1,98.0
fairness,0.3349999999999994,0.7849999999999998,0.6700000000000018,0.1,97.0
fairness,0.3349999999999994,0.7799999999999998,0.6700000000000018,0.1,96.0
efficiency,0.3199999999999994,0.7799999999999998,0.6700000000000018,0.1,95.0
efficiency,0.3149999999999994,0.7799999999999998,0.6700000000000018,0.1,94.0
fairness,0.3149999999999994,0.7749999999999998,0.6700000000000018,0.1,93.0
fairness,0.3149999999999994,0.7799999999999998,0.6700000000000018,0.1,92.0
efficiency,0.28999999999999937,0.7799999999999998,0.6700000000000018,0.1,91.0
exploration,0.28999999999999937,0.7799999999999998,0.6850000000000018,0.1,90.0
exploration,0.28999999999999937,0.7799999999999998,0.6700000000000018,0.1,89.0
exploration,0.28999999999999937,0.7799999999999998,0.6650000000000018,0.1,88.0
efficiency,0.26499999999999935,0.7799999999999998,0.6650000000000018,0.1,87.0
fairness,0.26499999999999935,0.7749999999999998,0.6650000000000018,0.1,86.0
fairness,0.26499999999999935,0.7899999999999998,0.6650000000000018,0.1,85.0
exploration,0.26499999999999935,0.7899999999999998,0.6600000000000018,0.1,84.0
exploration,0.26499999999999935,0.7899999999999998,0.6650000000000018,0.1,83.0
